ts_utc,bookmaker,mercado,a,b,cuota_a,cuota_b,last_update
2026-08-08T02:20:42+00:00,BetOnline.ag,h2h,aaron jeffery,joshua silveira,1.54,2.61,2026-08-08T02:19:52Z
2026-08-08T02:20:42+00:00,FanDuel,h2h,aaron jeffery,joshua silveira,1.54,2.56,2026-08-08T02:20:38Z
2026-08-08T02:20:42+00:00,Winamax (FR),h2h,aaron jeffery,joshua silveira,1.44,2.3,2026-08-08T02:20:18Z
2026-08-08T02:20:42+00:00,Grosvenor,h2h,aaron jeffery,joshua silveira,1.5,2.45,2026-08-08T02:20:07Z
2026-08-08T02:20:42+00:00,BetOnline.ag,h2h,alex pereira,josh hokit,2.4,1.62,2026-08-08T02:19:52Z
2026-08-08T02:20:42+00:00,DraftKings,h2h,alexandre pantoja,joshua van,1.85,1.98,2026-08-08T02:19:56Z
2026-08-08T02:20:42+00:00,Betclic (FR),h2h,alexandre pantoja,joshua van,1.85,1.85,2026-08-08T02:19:17Z
2026-08-08T02:20:42+00:00,1xBet,h2h,alexandre pantoja,joshua van,1.96,1.96,2026-08-08T02:20:28Z
2026-08-08T02:20:42+00:00,BetRivers,h2h,alexandre pantoja,joshua van,1.83,1.97,2026-08-08T02:20:06Z
2026-08-08T02:20:42+00:00,Virgin Bet,h2h,alexandre pantoja,joshua van,1.83,1.98,2026-08-08T02:19:45Z
2026-08-08T02:20:42+00:00,Grosvenor,h2h,alexandre pantoja,joshua van,1.75,1.88,2026-08-08T02:20:07Z
2026-08-08T02:20:42+00:00,LiveScore Bet,h2h,alexandre pantoja,joshua van,1.83,1.98,2026-08-08T02:20:17Z
2026-08-08T02:20:42+00:00,Winamax (FR),h2h,alexandre pantoja,joshua van,1.74,1.84,2026-08-08T02:20:18Z
2026-08-08T02:20:42+00:00,BetOnline.ag,h2h,alexia thainara,amanda lemos,1.38,3.15,2026-08-08T02:19:52Z
2026-08-08T02:20:42+00:00,1xBet,h2h,alexia thainara,amanda lemos,1.37,3.15,2026-08-08T02:20:28Z
2026-08-08T02:20:42+00:00,Pinnacle,h2h,alexia thainara,amanda lemos,1.4,3.15,2026-08-08T02:20:39Z
2026-08-08T02:20:42+00:00,BetUS,h2h,alexia thainara,amanda lemos,1.38,3.14,2026-08-08T02:20:28Z
2026-08-08T02:20:42+00:00,Unibet (UK),h2h,alexia thainara,amanda lemos,1.36,3.15,2026-08-08T02:20:08Z
2026-08-08T02:20:42+00:00,Nordic Bet,h2h,alexia thainara,amanda lemos,1.35,3.35,2026-08-08T02:20:42Z
2026-08-08T02:20:42+00:00,Betsson,h2h,alexia thainara,amanda lemos,1.35,3.35,2026-08-08T02:20:19Z
2026-08-08T02:20:42+00:00,DraftKings,h2h,alexia thainara,amanda lemos,1.38,3.15,2026-08-08T02:19:56Z
2026-08-08T02:20:42+00:00,Virgin Bet,h2h,alexia thainara,amanda lemos,1.37,3.1,2026-08-08T02:19:45Z
2026-08-08T02:20:42+00:00,LiveScore Bet,h2h,alexia thainara,amanda lemos,1.37,3.1,2026-08-08T02:20:17Z
2026-08-08T02:20:42+00:00,BetRivers,h2h,alexia thainara,amanda lemos,1.36,3.1,2026-08-08T02:20:06Z
2026-08-08T02:20:42+00:00,Grosvenor,h2h,alexia thainara,amanda lemos,1.33,2.9,2026-08-08T02:20:07Z
2026-08-08T02:20:42+00:00,Coolbet,h2h,alexia thainara,amanda lemos,1.37,3.22,2026-08-08T02:19:24Z
2026-08-08T02:20:42+00:00,FanDuel,h2h,alexia thainara,amanda lemos,1.4,3.05,2026-08-08T02:20:38Z
2026-08-08T02:20:42+00:00,Betfair Sportsbook,h2h,alexia thainara,amanda lemos,1.4,2.88,2026-08-08T02:20:06Z
2026-08-08T02:20:42+00:00,Paddy Power,h2h,alexia thainara,amanda lemos,1.4,2.88,2026-08-08T02:19:45Z
2026-08-08T02:20:42+00:00,Bovada,h2h,alexia thainara,amanda lemos,1.38,3.15,2026-08-08T02:17:19Z
2026-08-08T02:20:42+00:00,Betclic (FR),h2h,alexia thainara,amanda lemos,1.32,3.1,2026-08-08T02:19:17Z
